fid,ID,FEATCODE,layer,area,BUA22NM
1,266B02C7-8FA5-4153-95F3-973C7F7B6D5A,25612,TA_Foreshore,36578,Bridlington
2,CC777857-828C-48EB-9593-8BE9B003EC4F,25612,NS_Foreshore,115677,Renfrew
3,345836B3-B1F2-4B56-B362-174E56E86015,25612,TF_Foreshore,65705,Boston
4,29542E26-4C07-4682-8DFD-FA1D4BE85D23,25612,NZ_Foreshore,92135,Jarrow
5,EE5C5C90-FE2C-46F5-8267-522D7C53D243,25612,TQ_Foreshore,125607,Sittingbourne
6,68D89B58-BD9B-4B39-A31F-C1B9BB4565E5,25612,TA_Foreshore,5102,Beverley
7,849212D0-BD6B-4FA5-896C-0BF8627EBEFC,25612,SE_Foreshore,890,Brighouse
8,A9652871-6602-43E5-883E-7C2F103DB106,25612,NZ_Foreshore,292706,Hartlepool
9,A353F404-4C7C-47FB-B63D-BF9A1E42956B,25612,TL_Foreshore,135,Harlow
10,A0C59D26-27ED-4817-8483-5AEDCA50855C,25612,TQ_Foreshore,69997,Chafford Hundred and West Thurrock
11,273DB244-F736-4601-996E-BF86DA3B1574,25612,ST_Foreshore,39791,Cardiff
12,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,3864,Redbridge
13,760F579C-8600-46D2-A207-B8514347E175,25612,ST_Foreshore,18476,Avonmouth
14,29542E26-4C07-4682-8DFD-FA1D4BE85D23,25612,NZ_Foreshore,53450,South Shields
15,92C59AD0-3B02-4236-9DFC-5B4BE8A5E024,25612,TQ_Foreshore,2088086,Southend-on-Sea
16,DC1D2DA4-9655-454E-8932-735ABA814957,25612,TQ_Foreshore,507867,Barking and Dagenham
17,CC777857-828C-48EB-9593-8BE9B003EC4F,25612,NS_Foreshore,92200,Clydebank
18,DF4094FE-BF29-4618-ADD2-D78A5C37BBB5,25612,TF_Foreshore,34387,Wisbech
19,6A137B4A-D126-46C5-B461-45C8735FB256,25612,SK_Foreshore,28582,Gainsborough
20,3718D289-3E28-4CD3-81A2-3837F7A07648,25612,TQ_Foreshore,45505,Bexhill-on-Sea
21,DDE8F64E-EA41-4482-9594-2C9B7DBD3AD3,25612,TM_Foreshore,165479,Ipswich
22,2249F842-FB5A-4D28-9D4B-3D8D1FDAD3A7,25612,NZ_Foreshore,44330,Washington
23,013232E7-B6F7-4347-967B-1C00A5BC5403,25612,SD_Foreshore,41851,Liverpool
24,5AB3CC1E-1F96-49DF-AA08-CEAD06E35D8F,25612,SP_Foreshore,24,Birmingham
25,35C1F7BC-188B-46EF-A1BF-A49C6E7D9271,25612,TL_Foreshore,110,Peterborough
26,A001124D-0FFA-4C4F-80F7-F19B41A43C49,25612,SD_Foreshore,128684,Barrow-in-Furness
27,60766C54-77A7-4896-80EF-069FAD80946C,25612,ST_Foreshore,7217,Bridgwater
28,2A75F504-13E9-49CD-B9BA-03081BEC387E,25612,NO_Foreshore,18914,Perth
29,274CD850-80B0-4B2E-91B9-8DFA711EC440,25612,SJ_Foreshore,4051,Runcorn
30,B0D159B3-EBAD-44F0-AF29-EDB69446BD29,25612,TQ_Foreshore,7325,Worthing
31,02B5E205-D5E7-469F-9130-CABD00E8FC2F,25612,TL_Foreshore,26,St Albans
32,A9652871-6602-43E5-883E-7C2F103DB106,25612,NZ_Foreshore,17948,Thornaby-on-Tees
