fid,ID,layer,area,BUA22NM
1,A334842D-0788-41EE-A333-D05C7D488546,TA_TidalWater,254093,Bridlington
2,DFDAD24B-FE5D-4A3B-87B4-0B35E8CFF8E8,NS_TidalWater,677089,Renfrew
3,8478BD6C-BEEE-4073-BDA0-C749B0E61C69,TF_TidalWater,65289,Boston
4,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,716407,Jarrow
5,50313F4A-0D46-42F9-9F77-A16BE2715FF3,TL_TidalWater,135154,Sittingbourne
6,6F4CD0E1-2035-49DA-AC5E-0A0511873449,TA_TidalWater,21055,Beverley
7,A4FF62FB-9948-4B66-B217-43B7D4AC2BA6,NZ_TidalWater,1090452,Hartlepool
8,DBAB7DDF-C945-4F22-8EA4-F9ED610A8BE4,TQ_TidalWater,246349,Chafford Hundred and West Thurrock
9,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,36863,Redbridge
10,B4E75643-8308-45BF-AD9A-1F3BFD985962,ST_TidalWater,101357,Cardiff
11,3BE4EB4F-2596-468F-BB64-479212DB1EAE,ST_TidalWater,646272,Avonmouth
12,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,1160649,South Shields
13,50313F4A-0D46-42F9-9F77-A16BE2715FF3,TL_TidalWater,14695,Southend-on-Sea
14,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,760181,Barking and Dagenham
15,DFDAD24B-FE5D-4A3B-87B4-0B35E8CFF8E8,NS_TidalWater,960051,Clydebank
16,66379248-6E9A-4DE3-9760-C4787AB11922,TF_TidalWater,126236,Wisbech
17,C25ABA3B-B4CB-490F-9767-3B5662AF9DFE,SK_TidalWater,216582,Gainsborough
18,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,298871,Bexhill-on-Sea
19,4E6D111D-125B-4DA1-B78C-4183077CB131,TM_TidalWater,503317,Ipswich
20,EE7F1BBD-005D-41F2-ADA3-CFBB2E70A06E,NZ_TidalWater,105267,Washington
21,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,14514,Liverpool
22,FDAB03B4-DCBB-4184-8791-12BBCAB3800A,SD_TidalWater,396704,Barrow-in-Furness
23,E5E5C24C-10FB-498E-B842-D3DCF467A0AE,ST_TidalWater,31583,Bridgwater
24,8A76E45E-7686-4CFC-A8D8-37970A65780B,NO_TidalWater,187173,Perth
25,EB54C331-E9FB-49E1-BE26-4C78D86C6F94,SJ_TidalWater,2480,Runcorn
26,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,309810,Worthing
27,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,23153,Thornaby-on-Tees
28,5A7AEF19-C131-43BF-8485-961BBDCFC78C,SX_TidalWater,54443,St Austell
29,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,558462,Hounslow
30,330BD8BA-C0CD-4C71-8A27-DF2B724869C5,SS_TidalWater,133156,Barnstaple
31,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,952696,Hammersmith and Fulham
32,44C21F23-99B3-4A20-A563-C5100B5A4ED9,SY_TidalWater,1483845,Weymouth
33,8F717C9F-5F78-4624-8D11-6EB7EE78F961,TF_TidalWater,30255,Spalding
34,CED9448D-7691-47E1-8737-3F788F23AA07,TA_TidalWater,2375160,Kingston upon Hull
35,8244C9F7-6E59-431D-9FD1-5A569E1A0B19,SD_TidalWater,1024,Lytham St Anne's
36,51194754-7DCE-40B7-858C-65432D36E999,NS_TidalWater,434431,Stirling
37,4E999EEF-493E-417A-A61F-3180DB47B737,TQ_TidalWater,952856,City of Westminster
38,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,59572,Fareham
39,03153774-778A-41E6-BB5C-402036626D30,TG_TidalWater,1335991,Great Yarmouth
40,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,586447,Billingham
41,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,704268,Hastings
42,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,673967,Eastbourne
43,17B163E3-F065-49F9-A136-8F7A2709D792,SY_TidalWater,2828996,Poole
44,17B163E3-F065-49F9-A136-8F7A2709D792,SY_TidalWater,1276514,Bournemouth
45,A5EB406F-E7C2-4557-9DF2-FBBE728FDEC5,TM_TidalWater,1106935,Clacton-on-Sea
46,78D87AED-4437-44D3-84C7-0700BB4CFB04,NS_TidalWater,43321,Larbert and Stenhousemuir
47,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,8837,Birkenhead
48,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,313836,Crosby (Sefton)
49,F902D9FA-4D62-4F77-91FA-A880BB387F6D,ST_TidalWater,20411,Weston-super-Mare
50,4B0C654D-C624-4940-8065-ED7EC63A58CD,NX_TidalWater,168049,Workington
51,8907C1D8-316F-4BC6-9E38-2BFD38551909,SO_TidalWater,66005,Gloucester
52,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,1185608,Richmond upon Thames
53,345D8697-637C-4D54-BB96-DC7C014F8335,NZ_TidalWater,1311721,Gateshead
54,50C99E26-67EB-4118-A4B9-09376917BAB8,TF_TidalWater,27955,King's Lynn
55,073F99A5-A1A4-4B5A-BEA0-774104AF72E6,TL_TidalWater,112105,Maldon
56,BAE6A961-70E7-4C2A-9DB4-A34556C2B269,SS_TidalWater,292452,Swansea
57,04D93964-230F-42A2-A1B7-93926BB91500,TA_TidalWater,1049345,North Killingholme
58,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,1373479,Middlesbrough
59,66F7BF34-65E9-418F-B85A-40254D7EF4D1,SD_TidalWater,107501,Lancaster
