name,200m_buff_area,class
Aberdare,22267784,inland
Aberdeen,82424058,coastal
Abingdon-on-Thames,12038979,inland
Accrington,11555426,inland
Airdrie,13141864,inland
Aldershot,11676494,inland
Alloa,10539826,inland
Altrincham,15264350,inland
Amersham,12120536,inland
Andover,19456283,inland
Arbroath,14916715,coastal
Arnold,12013217,inland
Ascot,24353809,inland
Ash and Ash Vale,12208518,inland
Ashford (Ashford),31372627,inland
Ashington (Northumberland),11811159,inland
Ashton-in-Makerfield,11791670,inland
Ashton-under-Lyne,13841323,inland
Avonmouth,21929373,estuarine
Aylesbury,23742220,inland
Ayr,28200153,coastal
Bamber Bridge,20054917,inland
Banbury,20634365,inland
Barking and Dagenham,40468895,inland
Barnet,87112703,inland
Barnsley,28290911,inland
Barnstaple,16195359,inland
Barrow-in-Furness,28355238,coastal
Barry (Vale of Glamorgan),22261424,coastal
Basildon,40923346,inland
Basingstoke,39251546,inland
Bath,34711729,inland
Bathgate,13786799,inland
Batley,16825324,inland
Beaconsfield,11336503,inland
Bearsden,12493959,inland
Bebington,26703156,estuarine
Bedford,33175140,inland
Bedworth,11391808,inland
Beeston (Broxtowe),19650472,inland
Bellshill,10782020,inland
Beverley,12447530,inland
Bexhill-on-Sea,18468927,coastal
Bexley,63433991,inland
Bicester,16131505,inland
Billericay,14801817,inland
Billingham,19414987,inland
Bilston (Wolverhampton),12155681,inland
Birkenhead,34270878,estuarine
Birmingham,257231936,inland
Bishop Auckland,12394484,inland
Bishop's Stortford,16828090,inland
Blackburn (Blackburn with Darwen),42402723,inland
Blackpool,47317789,coastal
Bletchley,17741719,inland
Bloxwich,15150229,inland
Blyth (Northumberland),16668969,coastal
Bognor Regis,23892184,coastal
Bolton (Bolton),53827222,inland
Bootle (Sefton),15800362,estuarine
Borehamwood,12688885,inland
Boston,24371889,inland
Bournemouth,49032925,coastal
Bracknell,25234940,inland
Bradford,82456955,inland
Braintree,16709873,inland
Brent,50632624,inland
Brentwood,24704935,inland
