"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total","Littoral sediment_1","Saltwater_1","Freshwater_1","total_cover","green","blue","grey","bgg_check","perc_green","perc_blue","perc_grey"
"Aberdare",5935538.538,113466.9855,185864.5487,3136990.445,300.3621272,1901.074904,800322.651,356828.6123,797.5829087,3802.115886,25461.93131,181195.4215,0,8674.494463,0,0,0,0,0,897684.3032,10286138.48,21934967.5467989,332817,0,0,10223129,22267784,"inland",37691,51.70928753,-3.44449685,4.044614285,"wales",22267784.5467989,0,0,341491.494463,22267784.5467989,10360179.7255259,723782.038073,11183822.7832,22267784.5467989,46.525417487099,3.25035495359617,50.2242275593048
"Aberdeen",6239303.296,62254.46431,6275712.3,9172533.516,0,0,0,0,0,0,18848.23788,0,0,44340.37215,0,3066603.736,1221944.936,566705.469,54349.72837,14432097.18,39176032.53,80330725.76571,812189,83909,1158642,58788648,82424058,"coastal",262690,57.17167674,-2.135068713,6.702672337,"scotland",82385465.76571,650614.469,1158642,856529.37215,82385465.76571,21749803.57631,7027532.4794,53608129.71,82385465.76571,26.4000492977277,8.53006342087703,65.0698872813953
"Abingdon-on-Thames",160592.8604,13586.17083,1115193.544,706149.8284,2063567.116,0,0,0,33799.05316,0,0,0,0,92870.43892,0,0,0,0,0,908450.239,6575001.834,11669211.08471,369668,0,0,8124110,12038979,"inland",33175,51.67802686,-1.27690909,8.585435205,"england",12038879.08471,0,0,462538.43892,12038879.08471,4092888.57279,462538.43892,7483452.073,12038879.08471,33.9972562560926,3.84203907743743,62.1607046664699
"Accrington",1138319.867,201463.0059,65860.03769,2387465.631,107325.5844,0,39119.0389,0,8786.200445,243850.4425,0,5804.555326,0,6810.602132,0,0,0,0,0,2756061.825,4500162.134,11461028.924293,94397,0,0,6741531,11555426,"inland",34895,53.74978776,-2.360801576,3.159104091,"england",11555425.924293,0,0,101207.602132,11555425.924293,4197994.363161,101207.602132,7256223.959,11555425.924293,36.3292049178001,0.875844843756308,62.7949502384436
"Airdrie",1635384.66,961.1694278,480328.2451,1692523.476,100.0425026,0,671.4595771,3739.872462,1366.220796,76648.72253,89556.25406,62327.04822,0,528.5703543,0,0,0,0,0,645998.7001,8399751.759,13089886.2001298,51977,0,0,9187020,13141864,"inland",36170,55.86575506,-3.975396141,3.861954659,"scotland",13141863.2001298,0,0,52505.5703543,13141863.2001298,3950311.0441535,145801.6968763,9045750.4591,13141863.2001298,30.0589877097068,1.10944464004815,68.831567650245
"Aldershot",1109471.876,173060.478,86142.46699,1000275.207,28931.18912,888.6863175,0,13744.13099,64136.90099,25747.5386,0,0,0,329946.8096,0,0,0,0,0,1837612.146,6594421.335,11264378.7646075,412116,111,0,8359489,11676494,"inland",39825,51.24865487,-0.755228678,5.785151632,"england",11676605.7646075,111,0,742062.8096,11676605.7646075,2488654.3430175,755917.94059,8432033.481,11676605.7646075,21.3131657708335,6.47378147236274,72.2130527568037
"Alloa",1323184.551,0,1769962.743,696883.5631,0,0,0,0,0,300.1498521,401.9046948,0,0,25.81241279,0,0,0,429924.8726,121490.6403,2254667.82,3876814.12,10473656.1769597,33041,30068,3060,6556983,10539826,"inland",20730,56.12014236,-3.790247265,4.00118558,"scotland",10539825.1769597,459992.8726,3060,33066.81241279,10539825.1769597,3790331.0069521,618012.23000759,6131481.94,10539825.1769597,35.9619912409729,5.86359090052632,58.1744178585008
"Altrincham",355155.7797,0,79844.71129,47543.55941,3207874.6,0,0,0,0,0,7706.03495,0,0,4505.408586,0,0,0,0,0,2048931.52,9392896.466,15144458.079936,119891,0,0,10747809,15264350,"inland",49680,53.39419301,-2.347615293,8.058168326,"england",15264349.079936,0,0,124396.408586,15264349.079936,3690418.6504,132102.443536,11441827.986,15264349.079936,24.176718123217,0.865431226999651,74.9578506497833
"Amersham",1393570.961,81318.49434,1573330.463,2755826.171,3560.670191,5562.083741,0,121.8448226,12285.71533,1901.07256,0,0,0,46493.74302,0,0,0,0,0,385992.7498,5791143.585,12051107.5538046,69428,0,0,6661283,12120536,"inland",17380,51.67766756,-0.604484111,9.313024233,"england",12120535.5538046,0,0,115921.74302,12120535.5538046,5827355.631162,116043.5878426,6177136.3348,12120535.5538046,48.0783675382464,0.957413039444237,50.9642194223094
"Andover",414779.2819,19146.90481,2786421.604,2862153.725,21520.52094,245280.3415,100.0761151,1774.027181,307827.6969,2947.754782,0,0,0,154129.2843,0,0,0,0,0,2511502.966,9946340.541,19273924.7244281,182358,0,0,12408868,19456283,"inland",48480,51.21325503,-1.47572837,6.744090275,"england",19456282.7244281,0,0,336487.2843,19456282.7244281,6660177.9059471,338261.311481,12457843.507,19456282.7244281,34.2315024934593,1.73857111490419,64.0299263916365
